               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.048012,            0.038755,            0.017881,             0.41972,              0.2541,             0.18391,            0.089145,            0.052781,            0.056197,            0.030797,            0.001882,            0.001882,            0.001882
                  84,             0.04647,            0.039399,            0.018121,             0.40737,             0.24924,             0.18481,            0.090782,             0.05226,            0.056642,            0.031119,            0.001783,            0.001783,            0.001783
                  85,            0.046838,            0.038812,            0.018192,             0.41203,             0.25726,             0.19381,            0.094029,            0.052493,            0.056832,            0.031124,            0.001684,            0.001684,            0.001684
                  86,            0.046961,            0.039764,            0.017763,              0.3746,             0.26032,             0.19123,            0.095943,            0.052749,            0.056903,            0.032174,            0.001585,            0.001585,            0.001585
                  87,            0.046134,             0.03898,            0.016902,              0.4059,             0.26463,             0.19844,            0.097962,            0.052458,            0.055935,            0.031658,            0.001486,            0.001486,            0.001486
                  88,            0.045738,            0.039934,            0.017509,             0.38855,             0.25797,              0.1927,            0.095356,            0.052364,            0.056424,            0.033974,            0.001387,            0.001387,            0.001387
                  89,            0.046652,              0.0384,            0.016633,             0.39396,             0.26315,             0.19433,            0.097594,             0.05219,            0.057104,            0.031284,            0.001288,            0.001288,            0.001288
                  90,            0.044832,            0.038672,            0.016563,              0.4046,             0.27609,             0.19817,             0.10032,            0.052425,            0.056836,            0.031121,            0.001189,            0.001189,            0.001189
                  91,            0.046133,            0.038967,            0.017761,             0.44075,             0.25985,             0.20137,             0.10066,            0.052233,            0.056796,            0.030079,             0.00109,             0.00109,             0.00109
                  92,            0.045107,            0.038855,            0.016553,             0.44471,             0.25144,             0.20221,             0.10315,            0.051835,            0.056949,            0.030344,            0.000991,            0.000991,            0.000991
                  93,            0.045158,            0.037523,            0.015989,              0.4204,             0.26887,              0.2019,             0.10231,            0.051989,            0.056542,            0.031869,            0.000892,            0.000892,            0.000892
                  94,            0.044041,            0.037656,            0.016045,             0.41991,             0.26416,             0.19774,             0.10024,            0.051822,            0.056871,            0.031589,            0.000793,            0.000793,            0.000793
                  95,            0.045372,            0.038269,            0.016102,             0.41221,             0.25831,             0.19811,             0.10117,            0.052016,            0.056995,            0.031721,            0.000694,            0.000694,            0.000694
                  96,            0.044343,            0.037918,            0.015333,             0.43225,             0.25393,             0.19381,            0.099555,            0.052445,            0.056991,            0.033155,            0.000595,            0.000595,            0.000595
                  97,            0.045495,             0.03813,            0.016154,             0.43386,             0.25574,             0.19446,             0.09949,            0.052045,             0.05702,            0.033101,            0.000496,            0.000496,            0.000496
                  98,            0.045567,            0.039524,            0.016944,             0.40703,             0.27605,             0.19932,             0.10061,            0.051861,            0.056959,            0.032174,            0.000397,            0.000397,            0.000397
                  99,            0.044105,            0.038761,            0.015865,             0.40218,             0.26807,             0.20074,             0.10189,            0.051641,            0.056655,            0.031678,            0.000298,            0.000298,            0.000298
